,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
1,0.262817556,0,0,0,0,0,0.168686267,0,0.420892069,0,0.083312653,0,-0.480924159,0,0,0.136890724,0,-0.055526385,0,-0.006007392,0,0.030540174,0,0,0,0,0.011149349,0,0,-0.302103287,0,0,0.365405092,0,0.280388733,0,0,0,0,0,0.015374497,0,0.065242279,0.209644752,0.145124761,-0.178110335,0,0,0,0
2,0,0,0,0,0.025444035,0,0.568788605,0,0.113358498,0.344385058,0.188519739,-0.670904854,0,0,0,0.03126152,-0.011964519,-0.23829056,0,0,0,-0.130089068,0,0,0,0,0,-0.122374607,0,0.256111077,0,0.430261889,0,0,0,0,-0.114478468,0,0,0,0.411474358,0,0,-0.020002362,0,0.315060791,0.069863374,0,0,0
3,0.159963088,0.408205111,0,0,0,0,0,0,0.529792891,0.243662966,0.113411618,0,0,0.236722904,0,0.362715216,0.078389523,-0.213456324,0,0,0,0,0.611621617,0,0,0.056541435,0,0,0.019967765,0,0,0,0.134387783,0,0.445884611,0,0,0,0,0,-0.126711028,0,0.346940638,0.32004264,0.465128076,0.097668258,0,0.016136668,0.038442934,0
4,0.05160162,-0.053302504,-0.564310288,-0.150930986,0.21278418,0.609865604,0,0,0.134142008,0.172089801,-0.212135329,0,0,0,0,0,0,0,0,0,0.591319679,0.040123237,0,0.267156176,0.169337469,0.471882531,0.540592748,0,0,0,0,0.069597013,0,0,0.232065343,0,0.292632214,0.245727819,0,0,0,0,-0.507233867,0,0,0,0,0,0,0
5,0,-0.17835501,0,0,0,0,0,0,0.173608892,0,-0.070596405,-0.06386278,0.18220589,0,0,0,-0.291051928,0,0,0,0,0,0.377045747,0,0,0,0.03566546,0,-0.113448834,0,0,0,-0.126876819,0,0,0,0,0,0,0,0,0,0.070890725,-0.094074575,0.032650892,0,0,-0.216003418,0.091837865,0
6,-0.065507971,0.335578944,0,-0.371145024,-0.112035185,0,0,0,0,-0.197858319,-0.206227509,0,0,0,0,0,0,0,0,0,0,0.15957246,0,0,0,-0.082566466,0,0,0,0.097316874,0,0.351460499,0,0,-0.20893606,0,0,0,0,0.085772638,0,0.01608259,0,0,0,0,0,0,0,0
7,0.085333562,0,0,0.200670841,0,0,0,0,-0.16414766,0,0,0,0,0.325909199,-0.204438223,0,0,0.085948897,0,0.089154363,0,-0.104522381,0,0,0,0.185156924,0,0,0,0.074803015,0,0,0,0.089385444,0.921350395,-0.172983433,0,0,0,-0.012324344,0,-0.134766594,-0.139980199,0,0,0,0,0,0,0
8,0,0.301265338,0,0,0,0,0,0.118129042,0,0.247298236,-0.433474606,0,0.033919732,0,0,-0.273344905,-0.477287518,0,0,0,0,-0.146993234,0,0,-0.568724546,0,0,0,0,0,-0.175852344,0,0,-0.116948064,0,0,0,0.227892838,0,0,0.240664735,0,0,0,0.571675232,0,0.733913543,0,0.016521931,0
9,0,0,0,0.072173793,0,-0.077731049,0,0.38035603,0,0,0,-0.213019196,0,0,-0.125453246,0.160088212,-0.086704921,0,0,0,0,0,0.147954292,0,0,0.916121341,0.341813942,0,0,0.009418054,0,0,0,-0.178200381,0,0,0.016030138,-0.278533044,0,0,0.290421512,0,0,0.225290439,0,0,0,-0.364332137,0,0
10,0.054825316,0,-0.093451465,0,-0.058144537,0,0,0.14471355,0,0,0,0,0,-0.116419269,-0.221402435,0,-0.053241515,0.304103337,0,-0.140293958,0,0,0,0,-0.058723908,-0.292536393,0,-0.204553967,0,0,0,0,0,0,0,0,0,0,0,0,0.266710696,0.364568938,0,0,0,0,0.014407951,0,0,0
