"","se.vanilla_lasso","se.plain_lasso","se.vanilla_stepwise","se.plain_stepwise","se.SHIM"
"1",1,0.928571428571429,0.928571428571429,0.785714285714286,1
"2",0.928571428571429,0.785714285714286,0.928571428571429,0.642857142857143,1
"3",0.928571428571429,0.714285714285714,0.928571428571429,0.714285714285714,1
"4",1,0.785714285714286,1,0.785714285714286,1
"5",0.857142857142857,0.714285714285714,0.785714285714286,0.642857142857143,0.714285714285714
"6",0.857142857142857,0.642857142857143,0.785714285714286,0.571428571428571,1
"7",0.928571428571429,0.857142857142857,0.928571428571429,0.785714285714286,1
"8",0.928571428571429,0.642857142857143,0.785714285714286,0.5,1
"9",1,1,0.785714285714286,0.785714285714286,1
"10",0.928571428571429,0.857142857142857,0.857142857142857,0.714285714285714,1
"11",1,1,0.928571428571429,0.785714285714286,1
"12",1,0.785714285714286,0.928571428571429,0.714285714285714,0.714285714285714
"13",1,0.571428571428571,0.928571428571429,0.714285714285714,0.0714285714285714
"14",1,0.785714285714286,0.928571428571429,0.642857142857143,1
"15",0.928571428571429,0.714285714285714,0.928571428571429,0.642857142857143,0.714285714285714
"16",1,0.928571428571429,1,0.785714285714286,1
"17",1,0.857142857142857,1,0.714285714285714,0.642857142857143
"18",0.928571428571429,0.857142857142857,0.928571428571429,0.714285714285714,1
"19",0.714285714285714,0.571428571428571,0.857142857142857,0.571428571428571,1
"20",1,0.785714285714286,0.785714285714286,0.642857142857143,1
"21",0.857142857142857,0.642857142857143,0.785714285714286,0.571428571428571,0.357142857142857
"22",1,0.928571428571429,0.928571428571429,0.571428571428571,1
"23",1,0.785714285714286,0.928571428571429,0.785714285714286,1
"24",1,0.785714285714286,0.928571428571429,0.714285714285714,1
"25",1,0.785714285714286,0.785714285714286,0.642857142857143,1
"26",1,0.785714285714286,0.714285714285714,0.5,1
"27",1,0.857142857142857,1,0.642857142857143,1
"28",0.928571428571429,0.714285714285714,0.785714285714286,0.5,0.714285714285714
"29",0.928571428571429,0.714285714285714,0.928571428571429,0.642857142857143,0.714285714285714
"30",0.928571428571429,0.857142857142857,0.928571428571429,0.785714285714286,1
"31",0.785714285714286,0.5,0.928571428571429,0.714285714285714,1
"32",1,0.857142857142857,1,0.785714285714286,1
"33",0.928571428571429,0.785714285714286,0.857142857142857,0.714285714285714,1
"34",1,0.714285714285714,1,0.714285714285714,1
"35",1,0.928571428571429,0.857142857142857,0.714285714285714,0.642857142857143
"36",0.857142857142857,0.571428571428571,0.857142857142857,0.714285714285714,0.214285714285714
"37",1,0.857142857142857,0.928571428571429,0.642857142857143,1
"38",0.928571428571429,0.714285714285714,0.857142857142857,0.642857142857143,1
"39",0.857142857142857,0.571428571428571,0.785714285714286,0.571428571428571,0.928571428571429
"40",0.928571428571429,0.642857142857143,0.857142857142857,0.571428571428571,1
"41",1,0.928571428571429,0.785714285714286,0.857142857142857,1
"42",1,0.714285714285714,1,0.714285714285714,1
"43",1,0.928571428571429,1,0.857142857142857,1
"44",1,0.928571428571429,0.928571428571429,0.785714285714286,1
"45",1,0.857142857142857,1,0.785714285714286,1
"46",1,0.928571428571429,0.928571428571429,0.714285714285714,1
"47",1,0.785714285714286,1,0.714285714285714,1
"48",0.928571428571429,0.714285714285714,0.928571428571429,0.642857142857143,0.642857142857143
"49",1,0.785714285714286,1,0.785714285714286,1
"50",0.785714285714286,0.5,0.642857142857143,0.5,0.714285714285714
