"","mean","s.e."
"se.vanilla_lasso",0.789,0.018
"se.plain_lasso",0.681,0.03
"se.vanilla_stepwise",0.726,0.015
"se.plain_stepwise",0.637,0.019
"se.SHIM",0.9,0.024
"sp.vanilla_lasso",0.711,0.018
"sp.plain_lasso",0.757,0.019
"sp.vanilla_stepwise",0.73,0.01
"sp.plain_stepwise",0.797,0.009
"sp.SHIM",0.845,0.02
