"","se.vanilla_lasso","se.plain_lasso","se.vanilla_stepwise","se.plain_stepwise","se.SHIM"
"1",1,1,1,1,1
"2",1,0.777777777777778,1,0.777777777777778,1
"3",1,0.666666666666667,1,0.888888888888889,1
"4",1,0.777777777777778,1,0.888888888888889,1
"5",1,1,1,1,1
"6",1,1,1,0.777777777777778,1
"7",1,1,1,1,1
"8",1,1,1,1,1
"9",1,1,1,1,1
"10",1,1,1,0.888888888888889,1
"11",1,1,1,1,1
"12",1,0.888888888888889,1,0.777777777777778,1
"13",1,0.888888888888889,1,0.888888888888889,1
"14",1,1,1,0.888888888888889,1
"15",1,1,1,0.888888888888889,1
"16",1,1,1,1,1
"17",1,0.888888888888889,1,0.888888888888889,1
"18",1,0.666666666666667,1,0.666666666666667,1
"19",1,1,1,1,1
"20",1,0.888888888888889,1,0.888888888888889,1
"21",1,0.777777777777778,1,0.666666666666667,1
"22",1,0.888888888888889,1,0.888888888888889,1
"23",1,0.888888888888889,1,0.888888888888889,1
"24",1,0.888888888888889,1,0.888888888888889,1
"25",1,0.888888888888889,1,0.666666666666667,1
"26",1,1,1,0.777777777777778,1
"27",1,0.888888888888889,1,0.777777777777778,1
"28",1,0.888888888888889,1,0.888888888888889,1
"29",1,0.888888888888889,1,0.777777777777778,1
"30",1,0.777777777777778,1,0.777777777777778,1
"31",1,0.888888888888889,1,0.888888888888889,1
"32",1,0.888888888888889,1,0.777777777777778,1
"33",1,0.888888888888889,1,0.888888888888889,1
"34",1,1,1,1,1
"35",1,0.888888888888889,1,0.888888888888889,1
"36",1,0.888888888888889,1,1,1
"37",1,0.777777777777778,1,0.777777777777778,1
"38",1,0.777777777777778,1,0.888888888888889,1
"39",1,0.777777777777778,1,0.777777777777778,1
"40",1,1,1,1,1
"41",1,0.888888888888889,1,0.888888888888889,1
"42",1,1,1,1,1
"43",1,1,1,0.888888888888889,1
"44",1,0.888888888888889,1,0.888888888888889,1
"45",1,0.888888888888889,1,0.888888888888889,1
"46",1,0.888888888888889,1,0.888888888888889,1
"47",1,0.888888888888889,1,0.888888888888889,1
"48",1,0.888888888888889,1,0.777777777777778,1
"49",1,1,1,0.777777777777778,1
"50",1,0.777777777777778,1,0.777777777777778,1
