,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
x8x10,0.136564001,0,0,0,0,0,-0.176037873,0,0,0,0,0,0,-0.49163663,0,0,-0.439850941,0,0,0,-0.159412674,0.408213712,0,0,0.361227305,0,0,0,0,0,0,0,-0.1915088,0.039298032,0,0,-0.209764748,0,0,0,0,-0.019843439,0.485722853,0,-0.379532826,0,0,0,0,0
x9x10,0,0,0,0,0,-0.603261751,-0.021739748,0.042640308,0,0,0,-0.001831873,0,0.331142908,-0.045629484,0,0,0,0,0,0,0.140590231,0.028795311,0,0.45356843,0,0,0,0,0.052605689,0,0,0,0,0.502580014,-0.638504945,0,0,0.396466832,0,0,0,0,0,0,0,0,0,0,0
x1,1.120943393,0.767603186,0.002605004,0.867177186,0.626579424,0.485169158,0.541771284,0.568114068,0,1.366356627,0.344824544,0.437093558,0.228537033,0.803897625,0.233517514,0.637378386,0.702244694,0.659594949,0.561775108,0.259216274,0.635508554,0.621122428,0.307261754,0.186767813,0.15265122,0,0,0.152383977,0,1.13190993,0.583166766,0.390138865,0.795391978,0.545183845,0.696858122,1.310490997,0.630017502,0.604703992,0,0.953695304,0.150092312,1.119838651,0.589073748,1.436433521,0.583481099,1.291363114,1.055315852,0.281928637,0,0.691214791
x2,0.809210783,0.081760203,0.71919345,0,0,0.730331624,0.407323072,1.391543236,0.392315627,0.998674251,0.849465242,0.55811632,0,0.453861002,0.706349971,0.536568761,0.613151321,0.605058306,0.637043243,0.709046253,0.991087361,0.523344125,0.817650584,0,0,0.82388821,0.352527229,0.632685912,0,0.123048541,0,0.754419415,0.560613672,0.283989984,0,1.262363595,1.319005644,0.412146004,0.811190342,0.290346254,0.198738736,1.051145723,1.386778274,0.775596197,0.180238379,0.418067919,1.159513946,0.522632189,1.006934349,1.009824918
x3,0,0.103763597,0.53677356,0.597358425,0.212873392,0.802570568,0.829097659,0.696433402,0.623083595,0.619088176,0.927957434,0.766329564,0.596899969,0.297826465,0.906332854,0.560711598,0.925135957,1.195071673,0.767995181,0.861954044,0.202765815,0.951445344,0.237966523,0.226826249,1.562710001,0.35814231,0,0.200123695,0.588250581,1.132109311,0.903195514,0,0.119833088,1.017898569,0,1.058572052,0.074679694,0,1.088010524,0.645450353,1.120862801,0.736911339,0.155182397,0.177525497,0.42487887,1.045728254,1.233412457,0.921198869,0.366901903,0
x4,0.070501203,0.256994305,0.875338298,1.034431247,0.568497474,0.545219843,0.831384796,0,0.412598446,1.114274113,0.6719013,1.22750041,1.21798296,0.015852492,0,0.966847597,0,0.851671207,0,0.807717923,0.157120655,0.204019862,1.267762905,0.843280974,0.078831687,0.495672445,0.652213056,0.08932712,0,0.746404492,1.072663681,0.443274699,0.926408719,0.866274353,0.39559528,0.207090813,0,0.602038864,0.421748346,0.842071781,0,0.813081489,0.409346731,0.38842556,0.193639402,0.786634071,0.267168177,0.838121769,1.143186699,0.783495689
x5,0,0.515866745,0.103428135,0,0,0.271739462,0,-0.02464832,0.344604933,0,0,0,-0.476437395,0,0,0,0,0,0,-0.199013815,0,0,0,0,0,0,0,0,0,-0.143956946,0,0,0.361958145,0,0,0,0,-0.204147531,0,0,0,0,0,0,0,0.081477751,0,0.261152455,0,0
x6,0,0,-0.087215973,-0.562989982,0,0,0,0,0.38602792,0,0,-0.009517389,0,0,0,0,-0.196912453,0,0,0,-0.023795763,0,-0.22434512,0,0.288229571,0,-0.351924779,0,0,0,0,0,0,0.121659791,0.563316952,0,0,0,0,0,0,0.520454871,0,0.173822166,0.010937372,0.583151203,0,0.027789355,0.146472179,0
x7,0.374966447,0,0,0,0,0,-0.204317309,0,0,0,-0.326401368,-0.027624579,0,-0.160735393,0,0,0,0,0,0,0,0,0,0,0,0.678798948,-0.642141796,0,0,0,0,0,-0.347827452,-0.036829941,0.713244902,0.151537315,0.098726031,0,0,0,0,0,0,0,0.031470084,-0.664368534,-1.0147416,0.696156196,0,0
x8,-0.026904908,0,0,0,0,-0.140819066,-0.116869948,-0.298283141,0,0,0,0.201833138,0,-0.003140677,0.099786358,-0.171754786,0,0,0.472581772,0,0,0,0,0,-0.677768662,0,0,0,0,0,0,0,0,0,-0.33767435,0,0,0,0,0,0,0,-0.119315648,0,-0.296986466,0,0,0,0.345519926,0
x9,0,0,0.389108722,0,0,0,0,0,0,-0.13405034,-0.152793871,-0.05944482,0,0,0,0,0,-0.145730025,0,0,0,0.039042002,0,-0.138169643,0,0.004186397,0,0,0,0,0,0,0,0.08552406,-0.009782429,-0.395291587,0,0,1.048101355,0,0,0,0,0,0,0.086201618,0,0.035875058,0,0
x10,-0.509943538,0.076204907,-0.344528243,0,0,-0.234880501,0.125092074,0,0,0.349745729,0.487747803,0,0,0,0,0.690768142,0,0,0,0,-0.463404613,0,0.141209276,0,0,0,0,0,0,0.183058113,0,0,0.236078875,0,0.643457012,-0.30236254,-0.235857103,-0.219062687,0,0,0,0,0,0,0,-0.064904816,0,0,0,0.105119462
