"","vanilla_lasso","plain_lasso","vanilla_stepwise","plain_stepwise","SHIM"
"1",1,0.7,1,0.4,1
"2",1,0.7,1,0.555555555555556,1
"3",1,0.5,1,0.5,1
"4",1,0.888888888888889,1,0.7,1
"5",1,0.5,1,0.6,1
"6",1,0.6,1,0.4,1
"7",1,0.4,1,0.4,1
"8",1,0.7,1,0.7,1
"9",1,0.6,1,0.571428571428571,1
"10",1,0.6,1,0.444444444444444,1
"11",1,0.8,1,0.555555555555556,1
"12",1,0.7,1,0.5,1
"13",1,0.7,1,0.555555555555556,1
"14",1,0.6,1,0.444444444444444,1
"15",1,0.7,1,0.555555555555556,1
"16",1,0.555555555555556,1,0.555555555555556,1
"17",1,0.9,1,0.7,1
"18",1,0.7,1,0.444444444444444,1
"19",1,0.5,1,0.5,1
"20",1,0.6,1,0.625,1
"21",1,0.4,1,0.4,1
"22",1,0.7,1,0.5,1
"23",1,0.8,1,1,1
"24",1,0.4,1,0.444444444444444,1
"25",1,0.6,1,0.5,1
"26",1,0.8,1,0.6,1
"27",1,0.5,1,0.6,1
"28",1,0.5,1,0.4,1
"29",1,0.5,1,0.5,1
"30",1,0.7,1,0.5,1
"31",1,0.5,1,0.571428571428571,1
"32",1,0.5,1,0.555555555555556,1
"33",1,0.6,1,0.5,1
"34",1,0.9,1,0.4,1
"35",1,0.6,1,0.555555555555556,1
"36",1,0.666666666666667,1,0.6,1
"37",1,0.5,1,0.5,1
"38",1,0.6,1,0.6,1
"39",1,0.6,1,0.444444444444444,1
"40",1,0.7,1,0.555555555555556,1
"41",1,0.7,1,0.6,1
"42",1,0.7,1,0.75,1
"43",1,0.7,1,0.444444444444444,1
"44",1,0.7,1,0.6,1
"45",1,0.6,1,0.5,1
"46",1,0.5,1,0.5,1
"47",1,0.6,1,0.5,1
"48",1,0.7,1,0.6,1
"49",1,0.6,1,0.6,1
"50",1,0.6,1,0.5,1
