"","mse.vanillalasso.poly","mse.plainlasso.poly","mse.vanillastep.poly","mse.plainstep.poly","mse.shim.poly"
"1",72.2268237979807,72.3312714068446,0,0,0
"2",84.0791681330421,84.012062752866,0,0,0
"3",83.2962552909176,83.8405739929166,0,0,0
"4",80.2584583054012,79.9513243033916,0,0,0
"5",74.9357815679572,75.9141307800866,0,0,0
"6",77.8595613623826,77.3788313151,0,0,0
"7",70.593762868784,70.5731664336103,0,0,0
"8",74.3130393227845,74.6160963317923,0,0,0
"9",78.1631542773933,77.3846397132741,0,0,0
"10",71.0411081932952,70.9717340532245,0,0,0
"11",77.2640235845509,77.4961968277713,0,0,0
"12",79.9493350202502,79.9526696709236,0,0,0
"13",83.794372608289,83.5202828744037,0,0,0
"14",75.7953036065552,75.6457696841322,0,0,0
"15",76.3130941782895,76.1234790460565,0,0,0
"16",70.2716672959763,69.9099607444886,0,0,0
"17",77.7635452071236,77.2458120205936,0,0,0
"18",79.843249573764,80.3060624472644,0,0,0
"19",73.6070929279898,73.4219047173131,0,0,0
"20",77.5120262881081,77.3031021741712,0,0,0
"21",77.6812574573573,77.8322378522673,0,0,0
"22",75.8151789063098,74.4398332478387,0,0,0
"23",74.7138328771782,74.1170604670117,0,0,0
"24",73.8537743862114,75.0025490643657,0,0,0
"25",79.9286387103219,79.8763222115603,0,0,0
"26",77.1870219214414,76.8379653997755,0,0,0
"27",80.4409522920868,81.0056918501779,0,0,0
"28",82.4243938070558,82.5017374199334,0,0,0
"29",88.234952131602,87.8449829087792,0,0,0
"30",77.0176502212467,78.2196461970815,0,0,0
"31",76.9594054701938,77.0140534093197,0,0,0
"32",75.9210805183777,75.8963831692653,0,0,0
"33",75.0800493147035,74.7805399514143,0,0,0
"34",70.9700483558003,71.1764876262254,0,0,0
"35",78.9939275017527,78.6161521339999,0,0,0
"36",75.4060651151649,75.7534084904628,0,0,0
"37",78.8059730343063,78.3058462259254,0,0,0
"38",75.2727884469458,76.1094625637637,0,0,0
"39",79.6467636884692,79.4757434399215,0,0,0
"40",71.3240272111822,71.4230726550501,0,0,0
"41",78.3078157561157,78.798819838413,0,0,0
"42",71.560081740695,71.599252578344,0,0,0
"43",79.4736161873076,79.0091194189533,0,0,0
"44",74.4981936420396,75.2476347294624,0,0,0
"45",79.9724326256726,79.2033690420102,0,0,0
"46",77.108396533832,77.1041384938953,0,0,0
"47",75.8000504989084,75.2617251757834,0,0,0
"48",75.4977499548907,77.0146454021449,0,0,0
"49",73.4603689147578,72.9106607589897,0,0,0
"50",74.4182651556194,74.5135647781278,0,0,0
