"","mean","s.e."
"se.vanilla_lasso",0.32,0.031
"se.plain_lasso",0.154,0.025
"se.vanilla_stepwise",0.476,0.018
"se.plain_stepwise",0.306,0.017
"se.SHIM",0.366,0.034
"sp.vanilla_lasso",0.874,0.016
"sp.plain_lasso",0.93,0.013
"sp.vanilla_stepwise",0.732,0.01
"sp.plain_stepwise",0.805,0.009
"sp.SHIM",0.88,0.014
