"","mse.vanillalasso.poly","mse.plainlasso.poly"
"1",29.5709344279817,29.6214137514142
"2",30.6834953992208,31.630013381894
"3",30.5646368784452,31.3803137885932
"4",27.0633937871476,27.4674873309047
"5",30.5858442772418,30.9126933658103
"6",29.6179305347805,30.1200283900693
"7",27.8395380094033,27.8602635145393
"8",29.6847561808177,30.9756102375029
"9",31.9924559389867,30.936586620709
"10",28.5491129454641,28.1541227104737
"11",29.9473718003857,29.3664750977674
"12",28.5975612872426,29.4895470942349
"13",28.8080253589427,32.6497409581042
"14",27.970608578026,28.3869339495444
"15",29.3070497464239,29.6096683652915
"16",27.3316274924443,27.2303235648214
"17",29.7712652404122,29.7774132568204
"18",28.0720554957185,28.8139223478569
"19",30.3200388703212,30.4117204314506
"20",29.1563847186238,28.8033180326389
"21",30.6825412562806,31.2271519886629
"22",28.2197878478029,28.6464429631673
"23",28.0584429376195,28.1932224937742
"24",27.9252889124354,28.4484364326337
"25",31.4499992158178,32.1340718390565
"26",30.0785234384678,31.7146619684783
"27",31.6248354546314,32.4426937931581
"28",32.1965137411272,32.8495578487141
"29",28.9654609515464,29.2363051958231
"30",28.0612265492736,28.2961366379717
"31",30.732143609135,31.500350195569
"32",28.8390995418358,29.2673934611763
"33",28.7349025848509,29.0144087679824
"34",26.851979822123,27.1143170134976
"35",30.3564979045371,32.0486935564936
"36",28.5095423128251,28.2627614522359
"37",30.2700485701327,29.9050705175964
"38",28.4603087516565,29.5878047284962
"39",31.6531370689161,31.9809840004685
"40",28.2091818868224,28.6037964813246
"41",29.3319018062666,29.6903258098347
"42",27.3104112178135,27.3349558585208
"43",29.6958197074023,30.2939059162505
"44",28.7734179620213,29.2292504728124
"45",30.2992209310931,30.9548541344793
"46",29.4878594614925,29.0308518547494
"47",29.5235226054596,29.4836978886297
"48",29.6753324267209,30.4017352245387
"49",28.6599035388536,28.4368863397269
"50",30.4621383787111,30.2403375873914
