"","mse.vanillalasso.poly","mse.plainlasso.poly","mse.vanillastep.poly","mse.plainstep.poly","mse.shim.poly"
"1",29.610502383776,29.6749946660519,34.5984435619992,34.5572265955128,28.9783131276471
"2",32.3495939773272,33.2630566115399,38.6230463184441,38.59514316218,31.8414549224495
"3",32.1513094936934,33.72816708372,33.2505632836678,33.2736484404772,31.006268651599
"4",30.5745748199505,32.0512833648671,46.2740072871953,44.5242225944855,31.7698884119125
"5",31.3350350138718,31.1742854052726,37.4362942965213,37.015420293741,28.5207026154699
"6",30.8703988190752,31.0269692118418,35.1222261134379,35.1252783489424,28.0899912533419
"7",28.0738347546667,28.1765192358842,31.842459423743,31.7493340669123,26.5505232158167
"8",30.8041285318883,31.6980288975048,42.7025976670717,42.6789281795159,28.0719785309235
"9",31.9585350521269,30.9376384616103,36.9845675705066,34.8333887536723,29.4936349678
"10",28.7619941237062,28.7245656395473,34.2880456426324,33.659236848775,26.5948064728921
"11",30.4586964062929,30.7942337218861,35.5305781927034,36.8523076747646,27.8129602811249
"12",30.7906702987433,31.594671275157,34.6879696972993,33.7091678833873,28.4436041845807
"13",33.0440288553156,34.210313144368,33.9442691494239,33.9058057330659,32.287827768391
"14",29.3188648346928,29.6702110796138,32.2860678902734,32.3915391718143,26.9543552002717
"15",29.6653585834971,29.9789302459987,32.3986294320906,32.4616623153891,27.6040369648931
"16",27.5597860992268,27.233657195458,30.9910959968927,31.202921575806,27.403272770045
"17",30.7113285857907,31.2904206578342,34.8875242567098,35.3540820399625,28.3565772544365
"18",30.9760107639392,32.0132928346177,33.0687080267222,33.0716837154721,28.433246255789
"19",30.8630127831395,30.9213598379737,38.6463593761029,38.8389973345267,27.3053650345561
"20",31.4272208830204,31.405213932374,36.4114339196187,44.4413915146479,27.1580135561854
"21",32.2021892859711,32.8466476050636,41.285918040886,41.0805026778868,28.3218867402873
"22",29.2652170651254,29.8048083007956,33.815037058921,32.8357803238634,26.6066099130122
"23",29.3204943785169,29.2688553002228,35.9237233025127,37.0279701801881,28.1820552924177
"24",28.5788399295083,29.0225882056744,30.2775266628375,30.2643689883934,26.8967656994156
"25",32.4122075373454,33.6158542451125,41.3534569855459,41.115958920215,28.2902799915098
"26",31.6784612703027,31.9009350814488,38.7732427785971,38.7249751912067,29.1633144668371
"27",32.8318946969563,32.5974168107569,38.3451349187977,40.5303477503266,29.2206808424986
"28",33.5050413992457,34.3527311307643,38.1433957048851,36.7031963054102,27.7399572625138
"29",30.4258553141737,30.1566340512348,32.5203892754825,32.364728676798,29.1148124517336
"30",29.4368443209606,30.9198222777452,30.9381105985504,34.9601904243004,28.4200985746226
"31",31.4543576682956,31.436169945392,31.484328719323,31.2613352425292,27.953707368927
"32",29.6842487456965,29.7779197527282,31.1158163703436,31.0882781997545,29.2848174141724
"33",29.9619130619113,29.9697530773362,34.1602635243768,34.3123940473675,27.3279063527896
"34",27.2898319697849,27.8813941633246,31.4341421792735,31.6399731779314,28.2673614519443
"35",32.7016017260952,32.1610637926839,37.8197850067631,37.7994209996763,27.1245350063676
"36",29.6274341777771,30.7236011730243,39.0565605999813,39.8516325296468,26.916598288726
"37",31.1932950410975,31.0037332219489,34.9683273794954,36.5926045127773,29.5885368993412
"38",30.0890944799131,30.9945316385767,34.5801494512192,34.6034549784785,28.7154076488839
"39",32.1091456079293,33.4043394649358,36.8641727614448,36.7884399118738,28.8120560378165
"40",28.5776224901428,28.9198850073651,32.683719410153,32.4165583313193,27.2508878861246
"41",31.7904663462974,31.3019043546465,34.2083128242179,33.978668439587,27.4407638435322
"42",28.1391969169499,28.0675828979006,31.6586751620835,32.796803104722,26.2942554770723
"43",30.9135361595074,31.7843487006009,34.5077266440866,34.0133220273251,29.8218665309322
"44",29.1952545626759,30.0755981718726,34.3050674599799,35.0015953100617,27.6424323753958
"45",30.8312077860271,30.9694828639817,34.8494398716976,33.8576316979841,30.165464285304
"46",30.0065369206984,30.2969916604659,38.5239725456931,38.0492008157695,26.3207801089849
"47",30.1718841836681,30.4988626668601,32.3050341570714,32.264550820417,27.3234271142682
"48",30.4006129334021,31.2064328829793,37.8311581886823,37.7988342972814,28.4858458485308
"49",29.0626216284966,28.7232143768505,33.3201942211031,33.0736783649496,27.8529602399352
"50",30.5964410933573,31.2203713491636,34.7805985483764,34.3876077223268,29.3739191614149
