"","mse.vanillalasso.poly","mse.plainlasso.poly"
"1",410.086366364806,405.838200974362
"2",430.555620822911,428.868059069689
"3",417.360158232624,418.551991470854
"4",416.311055746766,416.311055746766
"5",430.018137533182,428.878447567314
"6",415.030587997962,415.952128783536
"7",415.758994156514,416.0376375022
"8",413.869625906411,409.393368843036
"9",454.453538708833,440.170807656098
"10",408.57013456816,409.129005987728
"11",413.585822244359,413.53875774989
"12",428.660710144666,429.868072710385
"13",415.180020871427,415.180020871427
"14",415.514469539601,418.037553443235
"15",426.090992887976,428.039666142277
"16",409.955391762458,409.955391762458
"17",428.931596813936,421.984631575822
"18",424.610315053865,424.572246006336
"19",411.090325162054,411.090325162054
"20",421.973267161543,422.076919195794
"21",418.988402579378,419.902642501344
"22",416.589611619982,416.83135827715
"23",419.125000775496,419.125000775496
"24",421.919036239061,421.919036239061
"25",419.03644785116,419.351546782343
"26",417.636513127838,417.293177582029
"27",434.984293450598,425.065709894828
"28",421.328393992928,418.553743687285
"29",417.32714192812,417.387231103498
"30",413.855376405469,413.480164108193
"31",431.083224095357,430.781489559033
"32",426.830991115174,430.773288380221
"33",411.901125244828,413.727410633307
"34",413.686936307912,415.466028622511
"35",413.364282806587,413.364282806587
"36",405.079865501392,405.079865501392
"37",425.765944985699,427.242997401699
"38",407.185979015487,410.092272751431
"39",422.352300903253,422.318352587759
"40",415.476988902577,415.476988902577
"41",406.051945784476,405.394997292817
"42",406.690773429389,408.490250933906
"43",428.016268045814,427.964424597461
"44",425.724183596739,425.7768915154
"45",455.612109246121,452.36048949754
"46",408.834350475304,404.901955759465
"47",419.212063597257,418.532772083399
"48",414.863760802373,417.217274117827
"49",419.381609026506,419.564579685585
"50",409.907449077096,412.414955462684
